pixel_vaue	description	cover_%	cell_count	square_km
12320	WD20012320	0.02	146873	103386
12321	WD20012321	0.00	10236	7282
12322	WD30012322	0.01	44036	28565
12323	WD20012323	0.01	61545	39679
12324	WD20012324	0.00	3287	2155
12325	WD20012325	0.00	23431	15733
12326	WD20012326	0.00	7629	4990
12327	WD30012327	0.00	19655	15436
12328	WD20012328	0.00	7108	4617
12329	WD30012329	0.01	48842	29699
12330	WD30012330	0.01	70125	41322
12331	WD30012331	0.00	12371	8167
12332	WD20012332	0.01	71309	44051
12333	WD20012333	0.01	71666	45266
12334	WD20012334	0.00	20909	11784
12335	WD20012335	0.01	75374	47722
12336	WD20012336	0.01	41805	24879
12337	WD20012337	0.00	3484	2202
12338	WD30012338	0.01	83191	64369
12339	WD20012339	0.01	41980	25481
12340	WD30012340	0.00	18431	11250
12341	WD20012341	0.00	16248	9326
